171,900,633,11001
40,980,263,7570
801,799,328,8076
816,967,277,8421
547,650,141,5207
414,402,435,6774
778,465,399,7093
212,789,549,9647
863,118,761,9063
249,22,703,7389
757,169,651,8112
185,955,631,11270
635,544,443,7785
702,879,387,8967
156,232,155,2866
165,525,107,3860
538,402,827,10818
504,40,154,2244
643,795,535,9968
660,153,211,3535
917,543,918,12812
683,100,758,8763
394,170,481,6054
98,604,437,7488
20,381,228,4205
750,48,85,1840
117,231,22,1492
756,973,689,12511
693,300,238,4573
668,733,904,13373
881,188,462,6441
195,767,324,7270
415,108,372,4675
733,334,929,11693
181,909,591,10636
579,382,466,7149
571,277,243,4386
820,479,570,8915
89,333,536,7114
350,982,284,8100
382,720,387,7852
750,949,163,7125
757,999,190,7652
231,339,687,8796
88,238,348,4758
44,259,373,5069
327,473,117,3862
801,394,447,7241
596,45,843,9251
495,823,61,5220
548,99,313,4173
52,783,455,8517
657,635,0,3832
79,523,543,8124
367,947,435,9452
796,676,396,8136
952,679,396,8307
191,334,269,4551
97,649,487,8212
308,936,100,5988
912,43,677,7897
790,131,849,9935
839,229,310,5084
476,369,303,5351
949,65,250,3774
130,82,969,10230
87,173,385,4802
613,297,127,3368
967,586,571,9607
583,6,142,2033
354,957,44,5579
998,112,710,8658
935,911,878,14270
607,170,939,10847
501,794,261,7081
362,173,496,6187
506,292,688,8846
246,385,155,3721
333,329,466,6638
7,132,356,4227
605,245,831,10140
989,337,263,5304
87,511,581,8452
133,649,171,5088
843,915,886,14278
396,475,326,6031
529,143,561,6854
54,544,705,9824
628,641,107,4903
807,9,588,6732
555,219,853,10180
340,503,45,3305
925,232,710,9185
520,430,662,9290
213,504,839,11123
973,857,769,12948
919,730,765,12219
393,665,315,6868
86,380,560,7586
551,343,215,4416
